PERSON John M
PERSON Harry M
PERSON Roger M
PERSON Suwit M
PERSON Peter M
PERSON Max M
PERSON Steven M
PERSON Bart M
PERSON Adam M
PERSON Zeke M
PERSON Randall M
PERSON Nicholas M
PERSON Michael M
PERSON Louise F
PERSON Harriet F
PERSON Cynthia F
PERSON Jennifer F
PERSON Martha F
PERSON Nellie F
PERSON Oprah F
PERSON Alison F
PERSON Barbara F
PERSON Iris F
PERSON Penelope F
PERSON Suzanna F
PERSON Theresa F
PERSON Victoria F
PERSON Annette F
PERSON Heather F
RELATION John Annette SPOUSE
RELATION Theresa Adam SPOUSE
RELATION Martha Max SPOUSE
RELATION Steven Nellie SPOUSE
RELATION Cynthia Harry SPOUSE
RELATION Jennifer Roger SPOUSE
RELATION Michael Penelope SPOUSE
RELATION Zeke Iris SPOUSE
RELATION Suzanna Bart SPOUSE
RELATION John Bart FATHER
RELATION John Martha FATHER
RELATION Nicholas Iris FATHER
RELATION Zeke Nellie FATHER
RELATION Zeke Jennifer FATHER
RELATION Zeke Harry FATHER
RELATION Randall Zeke FATHER
RELATION Adam Victoria FATHER
RELATION Cynthia Nellie MOTHER
RELATION Nellie Penelope MOTHER
RELATION Jennifer Adam MOTHER
RELATION Jennifer Iris MOTHER
RELATION Jennifer Alison MOTHER
RELATION Jennifer Steven MOTHER
RELATION Annette Max MOTHER
RELATION Nellie Harry MOTHER
RELATION Louise Nellie CHILD
RELATION Suzanna Nellie CHILD
RELATION Victoria Suzanna CHILD
RELATION Oprah Max CHILD
RELATION Barbara Oprah CHILD
RELATION John Barbara CHILD
+++++ ERROR DATA
PERSON Barbara F
RELATION Johnny Heather SPOUSE
RELATION John Oprah CHILD
RELATION Cynthia Zeke FATHER
RELATION Max Heather MOTHER
RELATION Nellie Barbara CHILD
RELATION Cynthia Max SPOUSE
